fid,rgi_id,o1region,o2region,glims_id,anlys_id,subm_id,src_date,cenlon,cenlat,utm_zone,area_km2,primeclass,conn_lvl,surge_type,term_type,glac_name,is_rgi6,termlon,termlat,zmin_m,zmax_m,zmed_m,zmean_m,slope_deg,aspect_deg,aspect_sec,dem_source,lmax_m
"27642",RGI2000-v7.0-G-01-04170,"01",01-02,G207101E61914N,"395435","624",2010-09-12T00:00:00,-152.892470676753,61.920125,"5",3.32120236214423,"0","0","3","9",Stoney Glacier_abl,"1",-152.878874816784,61.931067621561,912.48505,1619.6205,1221.5424,1245.6155,17.943209,20.447983,"1",COPDEM30,"3492"
"27643",RGI2000-v7.0-G-01-09630,"01",01-04,G213645E61400N,"401086","624",2009-09-06T00:00:00,-146.39851461166,61.407016,"6",47.7449619920385,"0","0","0","9",Stephens Glacier_abl,"1",-146.26935188,61.4373337829359,678.59454,2331.6204,1391.4626,1321.1052,11.641978,359.478821754456,"1",COPDEM90,"13314"
"27644",RGI2000-v7.0-G-01-13529,"01",01-05,G216453E60499N,"403826","624",2010-09-10T00:00:00,-143.557790662089,60.474914,"7",743.599089894508,"0","0","3","9",Steller Glacier_abl,"1",-143.898652457208,60.2886835633684,8.075178,3080.7812,1084.452,1052.251,8.172663,187.406051635742,"5",COPDEM90,"66973"
"27645",RGI2000-v7.0-G-01-16227,"01",01-05,G219819E61242N,"406649","624",2010-08-04T00:00:00,-140.338407121131,61.1732075,"7",254.841487852663,"0","0","3","9",Steele Glacier_abl,"1",-139.952598882719,61.2978080167102,1170.8345,5014.469,2735.6567,2726.2395,19.163624,22.438166,"1",COPDEM90,"44305"
"27646",RGI2000-v7.0-G-01-05134,"01",01-02,G214780E63437N,"402019","624",2009-08-04T00:00:00,-145.25838456979,63.428367,"6",23.0598978326733,"0","0","0","9",Spur Glacier_abl,"1",-145.136306126752,63.4622974611156,1223.0546,2978.2515,2017.7487,2045.3043,19.795567,20.640587,"1",COPDEM90,"10832"
"27647",RGI2000-v7.0-G-01-16236,"01",01-05,G220030E61076N,"406746","624",2010-08-04T00:00:00,-140.054995996263,61.0933345,"7",145.592406483527,"0","0","3","9",Spring Glacier_abl,"1",-139.726014504329,61.1884312722013,1280.3513,4487.9575,2756.1426,2722.6497,18.903553,11.363391,"1",COPDEM90,"33071"
"27648",RGI2000-v7.0-G-01-07256,"01",01-03,G206519E58873N,"394206","624",2009-06-19T00:00:00,-153.474764454798,58.9087585,"5",22.8378735970086,"0","0","0","9",Spotted Glacier_abl,"1",-153.470022622496,58.952889872233,43.63315,1851.6782,626.2993,671.9218,13.444905,349.08797454834,"1",COPDEM90,"11284"
"27651",RGI2000-v7.0-G-01-00329,"01",01-01,G215811E69236N,"1012062","810",2007-08-28T00:00:00,-144.185238453277,69.2359095,"6",4.04084340228736,"0","0","0","9",Split Glacier_abl,"0",-144.123074314883,69.2503404880385,1500.3339,2548.2092,1934.1714,1927.6294,17.489014,16.194916,"1",COPDEM30,"4384"
"27652",RGI2000-v7.0-G-01-07685,"01",01-04,G209496E59650N,"1010474","809",2005-07-20T00:00:00,-150.464397299427,59.6746875,"5",12.4222432575412,"0","0","0","9",Split Glacier_abl,"0",-150.465869929968,59.6513646134516,247.59058,1294.1365,984.1598,977.7586,9.047052,199.021896362305,"5",COPDEM30,"7186"
"27654",RGI2000-v7.0-G-01-08928,"01",01-04,G211088E60613N,"1011510","809",2006-09-12T00:00:00,-148.862451630022,60.625509,"6",76.9772457579947,"0","0","0","9",Spencer Glacier_abl,"0",-149.012078256155,60.6883075709129,42.059013,1919.4598,870.22784,877.8293,9.541343,342.478872299194,"1",COPDEM90,"19633"
