rgi_id,subregion,area_km2,year,direction,glacier_melt_days,doy_me_start_50,doy_me_end_50,tbias_opt
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2021,Descending,53.372093023255815,175.0,232.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2022,Descending,82.52663165791448,154.0,253.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2023,Descending,98.78319579894973,147.0,254.0,2.5
RGI2000-v7.0-G-01-00351,Brooks,13.25081636720178,2024,Descending,75.45236309077269,156.0,233.0,2.5
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2017,Descending,96.51753155680224,167.0,257.0,2.2
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2018,Descending,82.52734922861151,161.0,262.0,2.2
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2019,Descending,54.11500701262271,177.0,256.0,2.2
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2020,Descending,104.12762973352034,140.0,266.0,2.2
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2021,Descending,48.97054698457222,174.0,234.0,2.2
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2022,Descending,91.14305750350631,153.0,254.0,2.2
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2023,Descending,93.16690042075737,148.0,259.0,2.2
RGI2000-v7.0-G-01-00368,Brooks,7.139559878915878,2024,Descending,94.82468443197756,156.0,250.0,2.2
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2017,Descending,62.84271844660194,172.0,233.0,3.1
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2018,Descending,61.65242718446602,170.0,233.0,3.1
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2019,Descending,43.84077669902913,190.0,236.0,3.1
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2020,Descending,70.53786407766991,164.0,244.0,3.1
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2021,Descending,46.26796116504855,182.0,233.0,3.1
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2022,Descending,67.85825242718447,157.0,248.0,3.1
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2023,Descending,77.44466019417476,163.0,245.0,3.1
RGI2000-v7.0-G-01-00372,Brooks,5.126110007912598,2024,Descending,66.26990291262136,160.0,235.0,3.1
RGI2000-v7.0-G-01-00378,Brooks,8.103197057284264,2017,Descending,82.04950495049503,171.0,233.0,1.7
